state,abbreviation,literacy_rate,,,
Andaman & Nicobar Islands,AN,86.27,,,
Andhra Pradesh,AP,66.4,,,
Arunachal Pradesh,AR,66.95,,,
Assam,AS,85.9,,,
Bihar,BR,70.9,,,
Chandigarh,CH,77.3,,,
Chhattisgarh,CT,86.43,,,
Dadra & Nagar Haveli,DN,77.65,,,
Daman & Diu,DD,87.07,,,
NCT OF Delhi,DL,88.7,,,
Goa,GA,87.4,,,
Gujarat,GJ,82.4,,,
Haryana,HR,80.4,,,
Himachal Pradesh,HP,86.6,,,
Jammu & Kashmir,JK,77.3,,,
Jharkhand,JH,74.3,,,
Karnataka,KA,77.2,,,
Kerala,KL,96.2,,,
Lakshadweep,LD,92.28,,,
Madhya Pradesh,MP,73.7,,,
Maharashtra,MH,84.8,,,
Manipur,MN,79.85,,,
Meghalaya,ML,75.48,,,
Mizoram,MZ,91.58,,,
Nagaland,NL,80.11,,,
Odisha,OR,77.3,,,
Puducherry,PY,86.55,,,
Punjab,PB,83.7,,,
Rajasthan,RJ,69.7,,,
Sikkim,SK,82.2,,,
Tamil Nadu,TN,82.9,,,
Telangana,TG,72.8,,,
Tripura,TR,87.75,,,
Uttar Pradesh,UP,87.6,,,
Uttarakhand,UT,73,,,
West Bengal,WB,80.5,,,
